UDI,machine_id,timestamp,Product ID,Type,Air temperature [K],Process temperature [K],temp_diff,Rotational speed [rpm],Torque [Nm],power_w,Tool wear [min],Machine failure,failure_type,is_rnf_only
1,1,2026-01-01 08:00:00,M14860,M,298.1,308.6,10.5,1551,42.8,6951.590560157351,0,0,NoFailure,False
2,2,2026-01-01 08:00:00,L47181,L,298.2,308.7,10.5,1408,46.3,6826.722724152667,3,0,NoFailure,False
3,3,2026-01-01 08:00:00,L47182,L,298.1,308.5,10.399999999999977,1498,49.4,7749.387542560967,5,0,NoFailure,False
4,4,2026-01-01 08:00:00,L47183,L,298.2,308.6,10.400000000000034,1433,39.5,5927.504658915661,7,0,NoFailure,False
5,5,2026-01-01 08:00:00,L47184,L,298.2,308.7,10.5,1408,40.0,5897.816608339237,9,0,NoFailure,False
6,6,2026-01-01 08:00:00,M14865,M,298.1,308.6,10.5,1425,41.9,6252.554778807084,11,0,NoFailure,False
7,7,2026-01-01 08:00:00,L47186,L,298.1,308.6,10.5,1558,42.4,6917.703247400629,14,0,NoFailure,False
8,8,2026-01-01 08:00:00,L47187,L,298.1,308.6,10.5,1527,40.2,6428.264055922363,16,0,NoFailure,False
9,9,2026-01-01 08:00:00,M14868,M,298.3,308.7,10.399999999999977,1667,28.6,4992.639989035923,18,0,NoFailure,False
10,10,2026-01-01 08:00:00,M14869,M,298.5,309.0,10.5,1741,28.0,5104.878622573175,21,0,NoFailure,False
11,11,2026-01-01 08:00:00,H29424,H,298.4,308.9,10.5,1782,23.9,4459.993426595285,24,0,NoFailure,False
12,12,2026-01-01 08:00:00,H29425,H,298.6,309.1,10.5,1423,44.3,6601.41817101272,29,0,NoFailure,False
13,13,2026-01-01 08:00:00,M14872,M,298.6,309.1,10.5,1339,51.1,7165.22933257697,34,0,NoFailure,False
14,14,2026-01-01 08:00:00,M14873,M,298.6,309.2,10.599999999999966,1742,30.0,5472.6544025534195,37,0,NoFailure,False
15,15,2026-01-01 08:00:00,L47194,L,298.6,309.2,10.599999999999966,2035,19.6,4176.85215270275,40,0,NoFailure,False
16,16,2026-01-01 08:00:00,L47195,L,298.6,309.2,10.599999999999966,1542,48.4,7815.528539894543,42,0,NoFailure,False
17,17,2026-01-01 08:00:00,M14876,M,298.6,309.2,10.599999999999966,1311,46.6,6397.602111623327,44,0,NoFailure,False
18,18,2026-01-01 08:00:00,M14877,M,298.7,309.2,10.5,1410,45.6,6733.0613751736455,47,0,NoFailure,False
19,19,2026-01-01 08:00:00,H29432,H,298.8,309.2,10.399999999999977,1306,54.5,7453.6380101520235,50,0,NoFailure,False
20,20,2026-01-01 08:00:00,M14879,M,298.9,309.3,10.400000000000034,1632,32.5,5554.3358115467545,55,0,NoFailure,False
21,1,2026-01-01 08:05:00,H29434,H,298.9,309.3,10.400000000000034,1375,42.7,6148.3586224630235,58,0,NoFailure,False
22,2,2026-01-01 08:05:00,L47201,L,298.8,309.3,10.5,1450,44.8,6802.595292573099,63,0,NoFailure,False
23,3,2026-01-01 08:05:00,M14882,M,298.9,309.3,10.400000000000034,1581,30.7,5082.7513383163905,65,0,NoFailure,False
24,4,2026-01-01 08:05:00,L47203,L,299.0,309.4,10.399999999999977,1758,25.7,4731.3013681593,68,0,NoFailure,False
25,5,2026-01-01 08:05:00,M14884,M,299.0,309.4,10.399999999999977,1561,37.3,6097.339157768725,70,0,NoFailure,False
26,6,2026-01-01 08:05:00,L47205,L,299.0,309.5,10.5,1861,23.3,4540.784717670103,73,0,NoFailure,False
27,7,2026-01-01 08:05:00,L47206,L,299.1,309.5,10.399999999999977,1512,39.0,6175.114519896098,75,0,NoFailure,False
28,8,2026-01-01 08:05:00,H29441,H,299.1,309.4,10.299999999999955,1811,24.6,4665.327922433915,77,0,NoFailure,False
29,9,2026-01-01 08:05:00,L47208,L,299.1,309.4,10.299999999999955,1439,44.2,6660.574360679816,82,0,NoFailure,False
30,10,2026-01-01 08:05:00,L47209,L,299.0,309.4,10.399999999999977,1693,30.1,5336.445417069278,84,0,NoFailure,False
31,11,2026-01-01 08:05:00,M14890,M,299.1,309.5,10.399999999999977,1339,48.2,6758.592051471818,86,0,NoFailure,False
32,12,2026-01-01 08:05:00,L47211,L,299.0,309.4,10.399999999999977,1798,25.5,4801.296052481282,89,0,NoFailure,False
33,13,2026-01-01 08:05:00,L47212,L,299.0,309.4,10.399999999999977,1419,48.3,7177.251160464705,91,0,NoFailure,False
34,14,2026-01-01 08:05:00,L47213,L,298.9,309.3,10.400000000000034,1665,32.5,5666.647748912589,93,0,NoFailure,False
35,15,2026-01-01 08:05:00,M14894,M,298.8,309.1,10.300000000000011,1559,34.7,5665.056008634771,95,0,NoFailure,False
36,16,2026-01-01 08:05:00,M14895,M,298.8,309.2,10.399999999999977,1452,48.6,7389.7799034800555,98,0,NoFailure,False
37,17,2026-01-01 08:05:00,M14896,M,298.9,309.2,10.300000000000011,1581,36.7,6076.122935381484,101,0,NoFailure,False
38,18,2026-01-01 08:05:00,L47217,L,298.8,309.1,10.300000000000011,1439,39.2,5907.115722593864,104,0,NoFailure,False
39,19,2026-01-01 08:05:00,H29452,H,298.9,309.2,10.300000000000011,1379,50.7,7321.51309511755,106,0,NoFailure,False
40,20,2026-01-01 08:05:00,L47219,L,298.8,309.1,10.300000000000011,1350,52.5,7422.0126441058865,111,0,NoFailure,False
41,1,2026-01-01 08:10:00,L47220,L,298.8,309.1,10.300000000000011,1362,45.4,6475.325113873137,113,0,NoFailure,False
42,2,2026-01-01 08:10:00,L47221,L,298.8,309.1,10.300000000000011,1368,50.8,7277.436550187683,115,0,NoFailure,False
43,3,2026-01-01 08:10:00,M14902,M,298.8,309.1,10.300000000000011,1368,49.1,7033.900287681403,117,0,NoFailure,False
44,4,2026-01-01 08:10:00,H29457,H,298.8,309.2,10.399999999999977,1372,48.5,6968.261945172401,120,0,NoFailure,False
45,5,2026-01-01 08:10:00,M14904,M,298.8,309.1,10.300000000000011,1472,47.5,7322.00527796661,125,0,NoFailure,False
46,6,2026-01-01 08:10:00,L47225,L,298.8,309.1,10.300000000000011,1489,49.1,7656.050824822813,128,0,NoFailure,False
47,7,2026-01-01 08:10:00,M14906,M,298.7,309.0,10.300000000000011,1843,25.8,4979.36152408675,130,0,NoFailure,False
48,8,2026-01-01 08:10:00,L47227,L,298.8,309.1,10.300000000000011,1418,46.3,6875.207970773071,133,0,NoFailure,False
49,9,2026-01-01 08:10:00,H29462,H,298.8,309.2,10.399999999999977,1425,53.9,8043.2625913532665,135,0,NoFailure,False
50,10,2026-01-01 08:10:00,M14909,M,298.9,309.2,10.300000000000011,1412,44.1,6520.815375497119,140,0,NoFailure,False
51,11,2026-01-01 08:10:00,L47230,L,298.9,309.1,10.200000000000045,2861,4.6,1378.1748092277942,143,1,PWF,False
52,12,2026-01-01 08:10:00,L47231,L,298.9,309.1,10.200000000000045,1383,54.9,7951.025431043872,145,0,NoFailure,False
53,13,2026-01-01 08:10:00,H29466,H,298.8,309.0,10.199999999999989,1497,43.8,6866.327735538923,147,0,NoFailure,False
54,14,2026-01-01 08:10:00,L47233,L,298.7,309.0,10.300000000000011,1565,35.1,5752.41322835559,152,0,NoFailure,False
55,15,2026-01-01 08:10:00,L47234,L,298.7,309.0,10.300000000000011,1691,30.1,5330.141287811076,154,0,NoFailure,False
56,16,2026-01-01 08:10:00,L47235,L,298.8,309.1,10.300000000000011,1512,40.7,6444.286178455672,156,0,NoFailure,False
57,17,2026-01-01 08:10:00,L47236,L,298.8,309.1,10.300000000000011,1477,42.4,6558.053720417668,158,0,NoFailure,False
58,18,2026-01-01 08:10:00,L47237,L,298.8,309.1,10.300000000000011,1513,40.3,6385.171876690622,160,0,NoFailure,False
59,19,2026-01-01 08:10:00,M14918,M,298.8,309.0,10.199999999999989,1661,29.5,5131.215640985769,162,0,NoFailure,False
60,20,2026-01-01 08:10:00,L47239,L,298.8,309.1,10.300000000000011,1378,54.4,7850.127946986078,165,0,NoFailure,False
61,1,2026-01-01 08:15:00,L47240,L,298.8,309.1,10.300000000000011,1393,52.6,7673.004953176688,167,0,NoFailure,False
62,2,2026-01-01 08:15:00,M14921,M,298.8,309.0,10.199999999999989,1592,38.2,6368.469075749038,169,0,NoFailure,False
63,3,2026-01-01 08:15:00,L47242,L,298.8,309.0,10.199999999999989,1829,22.9,4386.092695407342,172,0,NoFailure,False
64,4,2026-01-01 08:15:00,M14923,M,298.9,309.0,10.100000000000023,1812,25.9,4914.581883569729,174,0,NoFailure,False
65,5,2026-01-01 08:15:00,L47244,L,299.0,309.1,10.100000000000023,1523,38.6,6156.244020023535,177,0,NoFailure,False
66,6,2026-01-01 08:15:00,L47245,L,299.0,309.1,10.100000000000023,1394,45.1,6583.668172519938,179,0,NoFailure,False
67,7,2026-01-01 08:15:00,M14926,M,298.9,308.9,10.0,1679,28.7,5046.162255877581,181,0,NoFailure,False
68,8,2026-01-01 08:15:00,H29481,H,298.8,308.9,10.099999999999966,1466,44.1,6770.195000339076,184,0,NoFailure,False
69,9,2026-01-01 08:15:00,L47248,L,298.8,308.9,10.099999999999966,1527,32.4,5180.988940594142,189,0,NoFailure,False
70,10,2026-01-01 08:15:00,L47249,L,298.9,309.0,10.100000000000023,1410,65.7,9700.923955019924,191,1,PWF,False
71,11,2026-01-01 08:15:00,M14930,M,298.9,309.0,10.100000000000023,1924,22.6,4553.4662800150945,193,0,NoFailure,False
72,12,2026-01-01 08:15:00,L47251,L,298.9,309.1,10.200000000000045,1452,45.5,6918.415341735443,196,0,NoFailure,False
73,13,2026-01-01 08:15:00,L47252,L,298.9,309.1,10.200000000000045,1369,44.4,6365.243707291352,198,0,NoFailure,False
74,14,2026-01-01 08:15:00,L47253,L,299.0,309.1,10.100000000000023,1592,35.0,5834.984755267443,200,0,NoFailure,False
75,15,2026-01-01 08:15:00,L47254,L,298.9,309.0,10.100000000000023,1601,32.3,5415.299392674381,202,0,NoFailure,False
76,16,2026-01-01 08:15:00,L47255,L,298.8,308.9,10.099999999999966,1379,46.7,6743.878925877506,204,0,NoFailure,False
77,17,2026-01-01 08:15:00,L47256,L,298.8,308.9,10.099999999999966,1461,47.9,7328.487430808518,206,0,NoFailure,False
78,18,2026-01-01 08:15:00,L47257,L,298.8,308.9,10.099999999999966,1455,41.3,6292.767164773035,208,1,TWF,False
79,19,2026-01-01 08:15:00,L47258,L,298.8,308.9,10.099999999999966,1398,51.5,7539.508209350145,0,0,NoFailure,False
80,20,2026-01-01 08:15:00,L47259,L,298.8,308.9,10.099999999999966,1402,37.9,5564.367964087218,2,0,NoFailure,False
81,1,2026-01-01 08:20:00,H29494,H,298.8,308.8,10.0,1445,49.9,7550.870302780627,4,0,NoFailure,False
82,2,2026-01-01 08:20:00,L47261,L,298.9,308.9,10.0,1450,47.5,7212.573133866567,9,0,NoFailure,False
83,3,2026-01-01 08:20:00,L47262,L,298.9,308.9,10.0,1453,40.8,6208.038410905718,11,0,NoFailure,False
84,4,2026-01-01 08:20:00,L47263,L,299.0,309.0,10.0,1469,40.1,6168.716142858287,13,0,NoFailure,False
85,5,2026-01-01 08:20:00,L47264,L,298.9,308.9,10.0,1422,47.6,7088.187008735435,15,0,NoFailure,False
86,6,2026-01-01 08:20:00,M14945,M,299.0,309.0,10.0,1804,26.8,5062.906944721215,17,0,NoFailure,False
87,7,2026-01-01 08:20:00,H29500,H,299.0,309.0,10.0,1436,43.9,6601.575250645399,20,0,NoFailure,False
88,8,2026-01-01 08:20:00,L47267,L,299.0,309.0,10.0,1544,31.8,5141.656200571199,25,0,NoFailure,False
89,9,2026-01-01 08:20:00,M14948,M,299.0,309.0,10.0,1419,45.2,6716.599429668835,27,0,NoFailure,False
90,10,2026-01-01 08:20:00,M14949,M,298.9,308.9,10.0,1487,39.5,6150.871896585897,30,0,NoFailure,False
91,11,2026-01-01 08:20:00,L47270,L,298.9,308.9,10.0,1753,25.8,4736.2022526989,33,0,NoFailure,False
92,12,2026-01-01 08:20:00,L47271,L,298.9,308.9,10.0,1830,24.9,4771.765081537536,35,0,NoFailure,False
93,13,2026-01-01 08:20:00,M14952,M,298.9,308.9,10.0,1727,27.1,4901.062563183781,37,0,NoFailure,False
94,14,2026-01-01 08:20:00,L47273,L,299.1,309.0,9.899999999999977,1450,43.0,6529.276731710787,40,0,NoFailure,False
95,15,2026-01-01 08:20:00,L47274,L,299.0,308.9,9.899999999999977,1622,31.9,5418.388625450411,42,0,NoFailure,False
96,16,2026-01-01 08:20:00,M14955,M,299.0,309.0,10.0,1351,52.2,7385.06751449967,44,0,NoFailure,False
97,17,2026-01-01 08:20:00,M14956,M,299.0,309.0,10.0,1575,35.3,5822.156585265284,47,0,NoFailure,False
98,18,2026-01-01 08:20:00,M14957,M,298.9,308.9,10.0,1750,29.9,5479.4611866361965,50,0,NoFailure,False
99,19,2026-01-01 08:20:00,L47278,L,298.9,308.8,9.900000000000034,1529,32.7,5235.809732399286,53,0,NoFailure,False
100,20,2026-01-01 08:20:00,L47279,L,298.8,308.8,10.0,1523,44.4,7081.275504897538,55,0,NoFailure,False
101,1,2026-01-01 08:25:00,L47280,L,298.8,308.9,10.099999999999966,1852,25.0,4848.524662040247,57,0,NoFailure,False
102,2,2026-01-01 08:25:00,L47281,L,298.8,308.8,10.0,1991,20.7,4315.888571575122,59,0,NoFailure,False
103,3,2026-01-01 08:25:00,L47282,L,298.8,308.8,10.0,1555,40.6,6611.272299969481,61,0,NoFailure,False
104,4,2026-01-01 08:25:00,M14963,M,298.8,308.8,10.0,1441,40.5,6111.497268660904,63,0,NoFailure,False
105,5,2026-01-01 08:25:00,L47284,L,298.8,308.7,9.899999999999977,1450,43.4,6590.01418968019,66,0,NoFailure,False
106,6,2026-01-01 08:25:00,L47285,L,298.8,308.7,9.899999999999977,1591,31.1,5181.543955296277,68,0,NoFailure,False
